"llaveho","c_ingxtrab","ingxtrab","c_ingxrnta","ingxrnta","c_ingxinv","ingxinv","c_otrosing","otrosing","ing_total","tipo_ing","destiping"
"0000020031",1,124800,0,0,0,0,0,0,124800,1,"Con Ingreso Positivo"
"0000020051",1,60000,0,0,0,0,1,120000,180000,1,"Con Ingreso Positivo"
"0000021011",1,127400,1,24000,0,0,1,30000,181400,1,"Con Ingreso Positivo"
"0000021021",1,108000,0,0,0,0,0,0,108000,1,"Con Ingreso Positivo"
"0000022011",1,0,1,160000,0,0,1,540000,7e+05,1,"Con Ingreso Positivo"
"0000022031",1,324000,0,0,0,0,0,0,324000,1,"Con Ingreso Positivo"
"0000022041",1,0,1,48000,0,0,1,3e+05,348000,1,"Con Ingreso Positivo"
"0000023011",1,0,0,0,0,0,1,114600,114600,1,"Con Ingreso Positivo"
"0000023021",1,57200,0,0,0,0,1,15600,72800,1,"Con Ingreso Positivo"
"0000023031",1,95400,0,0,0,0,1,63300,158700,1,"Con Ingreso Positivo"
"0000023051",1,41600,0,0,0,0,0,0,41600,1,"Con Ingreso Positivo"
"0000024021",1,113600,0,0,0,0,0,0,113600,1,"Con Ingreso Positivo"
"0000024031",1,195000,0,0,0,0,0,0,195000,1,"Con Ingreso Positivo"
"0000024041",1,202000,0,0,0,0,1,41100,243100,1,"Con Ingreso Positivo"
"0000025011",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000025021",1,3e+05,0,0,1,10400,0,0,310400,1,"Con Ingreso Positivo"
"0000025041",1,78000,0,0,0,0,0,0,78000,1,"Con Ingreso Positivo"
"0000025051",1,221892,0,0,0,0,1,2400,224292,1,"Con Ingreso Positivo"
"0000026021",1,240000,0,0,0,0,0,0,240000,1,"Con Ingreso Positivo"
"0000026031",1,248000,1,48000,0,0,1,0,296000,1,"Con Ingreso Positivo"
"0000026041",1,0,0,0,0,0,1,174600,174600,1,"Con Ingreso Positivo"
"0000026051",1,1200000,0,0,0,0,1,1200000,2400000,1,"Con Ingreso Positivo"
"0000027011",1,44720,0,0,0,0,1,20800,65520,1,"Con Ingreso Positivo"
"0000027021",1,182000,0,0,0,0,0,0,182000,1,"Con Ingreso Positivo"
"0000027031",1,135200,1,24000,0,0,1,63600,222800,1,"Con Ingreso Positivo"
