"RangoIngresos","Frecuen","Promedio"
"Bajo-bajo",13905,"$103,176"
"Bajo-alto",1025,"$264,054"
"Medio-bajo",1854,"$366,658"
"Medio-alto",175,"$501,855"
"Alto-bajo",654,"$661,649"
"Alto-alto",152,"$1,534,654"
